TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.028	2	2.011	1.5	3.511	0.248	3.845	1.702	You lose $5!	You pressed too slow!	0	0
LargeLoss	5.528	2	7.511	2.5	10.01	0.248	10.327	1.702	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	12.027	2	14.01	2.0	16.009	0.248	16.326	1.702	No money at stake!	You pressed too slow!	0	0
SmallLoss	18.026	2	20.009	2.5	22.508	0.248	22.825	1.702	You lose $0.20!	You pressed too slow!	0	0
LargeGain	24.525	2	26.508	2.0	28.507	0.318	28.89	1.632	You earn $5!	Correct Response!	1	259
NoMoneyStake	30.524	2	32.507	1.5	34.006	0.318	34.406	1.632	No money at stake!	You pressed too soon!	0	0
SmallLoss	36.023	2	38.006	1.5	39.505	0.318	39.905	1.632	You keep $0.20!	Correct Response!	1	277
NoMoneyStake	41.522	2	43.505	2.5	46.004	0.318	46.404	1.632	No money at stake!	Correct Response!	1	249
NoMoneyStake	48.021	2	50.004	3.0	53.003	0.318	53.403	1.632	No money at stake!	Correct Response!	1	266
SmallGain	55.02	2	57.003	3.5	60.502	0.318	60.902	1.632	You earn $0.20!	Correct Response!	1	254
SmallGain	62.518	2	64.502	2.5	67.001	0.338	67.418	1.612	You earn $0.20!	Correct Response!	1	293
LargeGain	69.017	2	71.0	1.5	72.5	0.338	72.917	1.612	You earn $5!	Correct Response!	1	280
NoMoneyStake	74.517	2	76.5	1.5	77.999	0.338	78.416	1.612	No money at stake!	Correct Response!	1	276
SmallGain	80.016	2	81.999	1.5	83.498	0.338	83.915	1.612	You earn $0.20!	Correct Response!	1	281
SmallGain	85.515	2	87.498	4.0	91.497	0.288	91.864	1.662	You earn $0.20!	Correct Response!	1	282
LargeGain	93.514	2	95.497	1.5	96.996	0.288	97.363	1.662	You did not earn $5!	You pressed too slow!	0	0
LargeGain	99.013	2	100.996	3.0	103.995	0.288	104.362	1.662	You earn $5!	Correct Response!	1	287
SmallGain	106.012	2	107.995	1.5	109.494	0.258	109.828	1.692	You did not earn $0.20!	You pressed too slow!	0	0
