TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallGain	0.022	2	2.006	4.0	6.005	0.326	6.405	1.624	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	8.021	2	10.004	1.5	11.504	0.326	11.904	1.624	No money at stake!	You pressed too slow!	0	0
SmallGain	13.52	2	15.504	3.0	18.503	0.326	18.903	1.624	You earn $0.20!	Correct Response!	1	296
SmallLoss	20.519	2	22.503	1.5	24.002	0.326	24.402	1.624	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	26.019	2	28.002	1.5	29.501	0.366	29.935	1.584	You keep $5!	Correct Response!	1	297
NoMoneyStake	31.518	2	33.501	1.5	35.001	0.366	35.434	1.584	No money at stake!	Correct Response!	1	325
SmallLoss	37.017	2	39.0	1.5	40.5	0.366	40.933	1.584	You keep $0.20!	Correct Response!	1	314
NoMoneyStake	42.516	2	44.499	2.0	46.499	0.366	46.932	1.584	No money at stake!	Correct Response!	1	283
LargeGain	48.515	2	50.498	2.5	52.998	0.366	53.431	1.584	You earn $5!	Correct Response!	1	279
LargeLoss	55.014	2	56.998	2.5	59.497	0.346	59.914	1.604	You keep $5!	Correct Response!	1	292
SmallLoss	61.513	2	63.497	3.0	66.496	0.346	66.913	1.604	You keep $0.20!	Correct Response!	1	301
SmallGain	68.512	2	70.496	2.0	72.495	0.346	72.912	1.604	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	74.512	2	76.495	4.0	80.494	0.316	80.877	1.634	No money at stake!	Correct Response!	1	302
LargeGain	82.51	2	84.493	2.0	86.493	0.316	86.893	1.634	You did not earn $5!	You pressed too slow!	0	0
LargeGain	88.51	2	90.493	3.0	93.492	0.316	93.875	1.634	You earn $5!	Correct Response!	1	272
SmallLoss	95.509	2	97.492	1.5	98.991	0.316	99.375	1.634	You lose $0.20!	You pressed too slow!	0	0
SmallGain	101.008	2	102.991	1.5	104.491	0.336	104.907	1.614	You earn $0.20!	Correct Response!	1	296
LargeGain	106.507	2	108.49	1.5	109.99	0.336	110.406	1.614	You earn $5!	Correct Response!	1	317
SmallLoss	112.006	2	113.989	2.0	115.989	0.336	116.405	1.614	You keep $0.20!	Correct Response!	1	294
SmallGain	118.005	2	119.988	1.5	121.488	0.316	121.871	1.634	You earn $0.20!	Correct Response!	1	306
LargeLoss	123.504	2	125.488	1.5	126.987	0.316	127.371	1.634	You keep $5!	Correct Response!	1	311
LargeGain	129.004	2	130.987	3.5	134.486	0.316	134.869	1.634	You earn $5!	Correct Response!	1	292
LargeLoss	136.503	2	138.486	3.5	141.985	0.266	142.318	1.684	You lose $5!	You pressed too slow!	0	0
LargeGain	144.001	2	145.984	1.5	147.484	0.266	147.834	1.684	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	149.501	2	151.484	2.0	153.483	0.266	153.817	1.684	No money at stake!	You pressed too slow!	0	0
NoMoneyStake	155.5	2	157.483	2.5	159.982	0.266	160.316	1.684	No money at stake!	You pressed too slow!	0	0
SmallLoss	161.999	2	163.982	2.5	166.482	0.266	166.831	1.684	You lose $0.20!	You pressed too slow!	0	0
SmallGain	168.498	2	170.481	1.5	171.981	0.286	172.347	1.664	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	173.997	2	175.98	3.0	178.98	0.286	179.346	1.664	You keep $5!	Correct Response!	1	268
LargeGain	180.996	2	182.979	2.0	184.979	0.286	185.345	1.664	You earn $5!	Correct Response!	1	277
SmallGain	186.995	2	188.978	1.5	190.478	0.326	190.878	1.624	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	192.494	2	194.477	4.0	198.477	0.326	198.877	1.624	You did not earn $5!	You pressed too soon!	0	0
LargeLoss	200.493	2	202.476	1.5	203.976	0.326	204.376	1.624	You lose $5!	You pressed too slow!	0	0
LargeLoss	205.992	2	207.975	4.0	211.975	0.366	212.408	1.584	You keep $5!	Correct Response!	1	321
SmallLoss	213.991	2	215.974	1.5	217.474	0.366	217.907	1.584	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	219.49	2	221.473	2.0	223.473	0.366	223.906	1.584	You keep $5!	Correct Response!	1	309
NoMoneyStake	225.49	2	227.473	3.0	230.472	0.406	230.955	1.544	No money at stake!	Correct Response!	1	302
