TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallLoss	0.021	2	2.004	1.5	3.503	0.309	3.887	1.641	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	5.52	2	7.503	1.5	9.003	0.309	9.386	1.641	You keep $5!	Correct Response!	1	276
NoMoneyStake	11.019	2	13.002	3.5	16.502	0.309	16.885	1.641	No money at stake!	You pressed too slow!	0	0
NoMoneyStake	18.518	2	20.501	1.5	22.001	0.309	22.384	1.641	No money at stake!	Correct Response!	1	294
LargeGain	24.017	2	26.0	3.5	29.5	0.309	29.883	1.641	You did not earn $5!	You pressed too slow!	0	0
SmallGain	31.516	2	33.499	3.0	36.499	0.349	36.915	1.601	You earn $0.20!	Correct Response!	1	339
SmallLoss	38.515	2	40.498	1.5	41.998	0.349	42.431	1.601	You lose $0.20!	You pressed too slow!	0	0
SmallGain	44.014	2	45.997	1.5	47.497	0.349	47.914	1.601	You earn $0.20!	Correct Response!	1	309
LargeGain	49.514	2	51.497	3.0	54.496	0.369	54.946	1.581	You earn $5!	Correct Response!	1	333
LargeLoss	56.513	2	58.496	1.5	59.995	0.369	60.445	1.581	You keep $5!	Correct Response!	1	362
SmallGain	62.012	2	63.995	2.0	65.995	0.369	66.445	1.581	You earn $0.20!	Correct Response!	1	290
LargeGain	68.011	2	69.994	2.0	71.994	0.339	72.41	1.611	You earn $5!	Correct Response!	1	299
NoMoneyStake	74.01	2	75.993	2.5	78.493	0.339	78.909	1.611	No money at stake!	Correct Response!	1	320
LargeGain	80.509	2	82.492	1.5	83.992	0.339	84.409	1.611	You earn $5!	Correct Response!	1	332
LargeLoss	86.008	2	87.992	2.5	90.491	0.339	90.908	1.611	You keep $5!	Correct Response!	1	313
SmallGain	92.508	2	94.491	1.5	95.99	0.289	96.357	1.661	You did not earn $0.20!	You pressed too slow!	0	0
