TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallGain	0.018	2	2.001	1.5	3.501	0.271	3.851	1.679	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	5.517	2	7.5	1.5	9.0	0.271	9.35	1.679	You did not earn $5!	You pressed too slow!	0	0
LargeGain	11.016	2	12.999	1.5	14.499	0.271	14.849	1.679	You earn $5!	Correct Response!	1	244
SmallGain	16.516	2	18.499	4.0	22.498	0.311	22.881	1.639	You earn $0.20!	Correct Response!	1	293
LargeLoss	24.515	2	26.498	1.5	27.997	0.311	28.381	1.639	You keep $5!	Correct Response!	1	290
LargeLoss	30.014	2	31.997	1.5	33.497	0.311	33.88	1.639	You keep $5!	Correct Response!	1	270
LargeGain	35.513	2	37.496	1.5	38.996	0.291	39.363	1.659	You earn $5!	Correct Response!	1	267
SmallLoss	41.012	2	42.996	3.5	46.495	0.291	46.862	1.659	You keep $0.20!	Correct Response!	1	263
LargeGain	48.512	2	50.495	4.0	54.494	0.291	54.861	1.659	You earn $5!	Correct Response!	1	280
LargeLoss	56.511	2	58.494	2.5	60.993	0.241	61.31	1.709	You lose $5!	You pressed too slow!	0	0
SmallLoss	63.01	2	64.993	1.5	66.493	0.241	66.809	1.709	You lose $0.20!	You pressed too slow!	0	0
SmallLoss	68.509	2	70.492	1.5	71.992	0.241	72.309	1.709	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	74.008	2	75.991	1.5	77.491	0.261	77.824	1.689	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	79.508	2	81.491	1.5	82.991	0.261	83.324	1.689	No money at stake!	You pressed too slow!	0	0
SmallLoss	85.007	2	86.99	1.5	88.49	0.261	88.823	1.689	You lose $0.20!	You pressed too slow!	0	0
SmallLoss	90.506	2	92.489	2.0	94.489	0.261	94.822	1.689	You keep $0.20!	Correct Response!	1	260
LargeGain	96.505	2	98.489	3.5	101.988	0.311	102.371	1.639	You earn $5!	Correct Response!	1	257
LargeGain	104.005	2	105.988	3.0	108.987	0.311	109.371	1.639	You earn $5!	Correct Response!	1	266
SmallGain	111.004	2	112.987	3.5	116.486	0.311	116.87	1.639	You earn $0.20!	Correct Response!	1	271
NoMoneyStake	118.503	2	120.486	3.5	123.985	0.291	124.352	1.659	No money at stake!	You pressed too slow!	0	0
SmallLoss	126.002	2	127.985	1.5	129.485	0.291	129.851	1.659	You lose $0.20!	You pressed too slow!	0	0
SmallGain	131.501	2	133.484	1.5	134.984	0.291	135.351	1.659	You earn $0.20!	Correct Response!	1	260
LargeLoss	137.0	2	138.983	1.5	140.483	0.291	140.85	1.659	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	142.5	2	144.483	3.0	147.482	0.271	147.832	1.679	No money at stake!	Correct Response!	1	266
NoMoneyStake	149.499	2	151.482	1.5	152.982	0.271	153.332	1.679	No money at stake!	You pressed too slow!	0	0
