TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.026	2	2.009	1.5	3.508	0.338	3.925	1.612	You lose $5!	You pressed too slow!	0	0
LargeGain	5.525	2	7.508	2.0	9.508	0.338	9.924	1.612	You earn $5!	Correct Response!	1	283
NoMoneyStake	11.524	2	13.507	4.0	17.506	0.338	17.923	1.612	No money at stake!	Correct Response!	1	293
LargeLoss	19.523	2	21.506	1.5	23.006	0.338	23.422	1.612	You lose $5!	You pressed too slow!	0	0
LargeGain	25.022	2	27.005	1.5	28.505	0.378	28.955	1.572	You earn $5!	Correct Response!	1	342
LargeLoss	30.521	2	32.504	2.0	34.504	0.378	34.954	1.572	You keep $5!	Correct Response!	1	318
NoMoneyStake	36.52	2	38.504	3.0	41.503	0.378	41.953	1.572	No money at stake!	Correct Response!	1	311
SmallGain	43.52	2	45.503	2.0	47.502	0.378	47.952	1.572	You earn $0.20!	Correct Response!	1	304
NoMoneyStake	49.519	2	51.502	2.0	53.501	0.358	53.935	1.592	No money at stake!	Correct Response!	1	305
SmallGain	55.518	2	57.501	2.5	60.001	0.358	60.434	1.592	You earn $0.20!	Correct Response!	1	312
NoMoneyStake	62.017	2	64.0	3.5	67.499	0.358	67.933	1.592	No money at stake!	Correct Response!	1	322
SmallGain	69.516	2	71.499	4.0	75.498	0.358	75.932	1.592	You earn $0.20!	Correct Response!	1	347
SmallLoss	77.515	2	79.498	4.0	83.497	0.358	83.93	1.592	You keep $0.20!	Correct Response!	1	307
SmallGain	85.514	2	87.497	1.5	88.996	0.308	89.38	1.642	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	91.013	2	92.996	1.5	94.496	0.308	94.879	1.642	No money at stake!	Correct Response!	1	284
LargeLoss	96.512	2	98.495	1.5	99.995	0.308	100.378	1.642	You lose $5!	You pressed too slow!	0	0
SmallLoss	102.011	2	103.994	2.0	105.994	0.308	106.377	1.642	You keep $0.20!	Correct Response!	1	282
SmallGain	108.01	2	109.993	3.0	112.993	0.288	113.36	1.662	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	115.009	2	116.993	3.5	120.492	0.288	120.859	1.662	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	122.508	2	124.491	1.5	125.991	0.288	126.358	1.662	No money at stake!	You pressed too slow!	0	0
LargeLoss	128.008	2	129.991	1.5	131.49	0.288	131.857	1.662	You lose $5!	You pressed too soon!	0	0
SmallLoss	133.507	2	135.49	3.5	138.989	0.338	139.406	1.612	You lose $0.20!	You pressed too slow!	0	0
SmallGain	141.006	2	142.989	1.5	144.489	0.338	144.905	1.612	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	146.505	2	148.488	2.5	150.988	0.338	151.404	1.612	You keep $0.20!	Correct Response!	1	294
SmallLoss	153.004	2	154.987	1.5	156.487	0.388	156.954	1.562	You keep $0.20!	Correct Response!	1	315
LargeLoss	158.503	2	160.486	2.5	162.986	0.388	163.453	1.562	You keep $5!	Correct Response!	1	295
SmallGain	165.002	2	166.985	1.5	168.485	0.388	168.952	1.562	You earn $0.20!	Correct Response!	1	324
LargeGain	170.502	2	172.485	1.5	173.984	0.368	174.418	1.582	You earn $5!	Correct Response!	1	289
LargeGain	176.001	2	177.984	2.5	180.484	0.368	180.933	1.582	You earn $5!	Correct Response!	1	285
SmallLoss	182.5	2	184.483	2.0	186.483	0.368	186.933	1.582	You keep $0.20!	Correct Response!	1	294
SmallGain	188.499	2	190.482	1.5	191.982	0.318	192.382	1.632	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	193.998	2	195.981	1.5	197.481	0.318	197.881	1.632	You keep $0.20!	Correct Response!	1	279
NoMoneyStake	199.498	2	201.481	2.5	203.98	0.318	204.38	1.632	No money at stake!	Correct Response!	1	300
LargeGain	205.997	2	207.98	1.5	209.479	0.318	209.863	1.632	You earn $5!	Correct Response!	1	305
LargeLoss	211.496	2	213.479	2.0	215.479	0.288	215.845	1.662	You lose $5!	You pressed too slow!	0	0
LargeGain	217.495	2	219.478	3.5	222.978	0.288	223.344	1.662	You earn $5!	Correct Response!	1	285
LargeLoss	224.994	2	226.977	3.0	229.977	0.288	230.343	1.662	You lose $5!	You pressed too slow!	0	0
SmallGain	231.993	2	233.976	2.0	235.976	0.308	236.359	1.642	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	237.992	2	239.975	1.5	241.475	0.308	241.858	1.642	You keep $0.20!	Correct Response!	1	284
LargeGain	243.491	2	245.474	4.0	249.474	0.308	249.857	1.642	You earn $5!	Correct Response!	1	300
NoMoneyStake	251.49	2	253.473	1.5	254.973	0.328	255.373	1.622	No money at stake!	You pressed too slow!	0	0
LargeGain	256.989	2	258.973	2.0	260.972	0.328	261.372	1.622	You earn $5!	Correct Response!	1	322
SmallLoss	262.989	2	264.972	3.0	267.971	0.328	268.371	1.622	You keep $0.20!	Correct Response!	1	291
NoMoneyStake	269.988	2	271.971	1.5	273.47	0.328	273.87	1.622	No money at stake!	Correct Response!	1	327
SmallLoss	275.487	2	277.47	1.5	278.97	0.328	279.37	1.622	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	280.986	2	282.969	4.0	286.969	0.308	287.352	1.642	You keep $5!	Correct Response!	1	284
NoMoneyStake	288.985	2	290.968	2.0	292.968	0.308	293.351	1.642	No money at stake!	Correct Response!	1	301
LargeGain	294.984	2	296.967	3.0	299.967	0.308	300.35	1.642	You earn $5!	Correct Response!	1	285
LargeGain	301.983	2	303.966	1.5	305.466	0.308	305.849	1.642	You did not earn $5!	You pressed too slow!	0	0
SmallGain	307.482	2	309.465	3.5	312.965	0.288	313.332	1.662	You did not earn $0.20!	You pressed too slow!	0	0
