TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallLoss	0.06	2	2.01	1.5	3.51	0.356	3.943	1.594	You lose $0.20!	You pressed too soon!	0	0
LargeLoss	5.543	2	7.509	1.5	9.009	0.356	9.443	1.594	You keep $5!	Correct Response!	1	327
NoMoneyStake	11.042	2	13.009	3.5	16.508	0.356	16.942	1.594	No money at stake!	Correct Response!	1	340
NoMoneyStake	18.525	2	20.508	1.5	22.008	0.356	22.441	1.594	No money at stake!	You pressed too slow!	0	0
LargeGain	24.041	2	26.007	3.5	29.507	0.356	29.94	1.594	You did not earn $5!	You pressed too soon!	0	0
SmallGain	31.54	2	33.506	3.0	36.506	0.396	36.973	1.554	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	38.522	2	40.505	1.5	42.005	0.396	42.472	1.554	You keep $0.20!	Correct Response!	1	306
SmallGain	44.022	2	46.005	1.5	47.505	0.396	47.971	1.554	You earn $0.20!	Correct Response!	1	286
LargeGain	49.521	2	51.504	3.0	54.504	0.416	55.004	1.534	You did not earn $5!	You pressed too slow!	0	0
LargeLoss	56.52	2	58.503	1.5	60.003	0.416	60.486	1.534	You keep $5!	Correct Response!	1	300
SmallGain	62.019	2	64.003	2.0	66.002	0.416	66.502	1.534	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	68.019	2	70.002	2.0	72.002	0.436	72.518	1.514	You earn $5!	Correct Response!	1	317
NoMoneyStake	74.018	2	76.001	2.5	78.501	0.436	79.017	1.514	No money at stake!	Correct Response!	1	418
LargeGain	80.517	2	82.5	1.5	84.0	0.436	84.517	1.514	You earn $5!	Correct Response!	1	318
LargeLoss	86.017	2	88.0	2.5	90.499	0.436	91.016	1.514	You lose $5!	You pressed too slow!	0	0
SmallGain	92.516	2	94.499	1.5	95.999	0.456	96.532	1.494	You earn $0.20!	Correct Response!	1	410
LargeGain	98.015	2	99.998	1.5	101.498	0.456	102.031	1.494	You did not earn $5!	You pressed too slow!	0	0
SmallLoss	103.514	2	105.498	3.5	108.997	0.456	109.53	1.494	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	111.014	2	112.997	1.5	114.496	0.476	115.046	1.474	You lose $5!	You pressed too slow!	0	0
LargeLoss	116.513	2	118.496	3.5	121.996	0.476	122.546	1.474	You keep $5!	Correct Response!	1	402
SmallGain	124.012	2	125.995	2.5	128.495	0.476	129.045	1.474	You earn $0.20!	Correct Response!	1	303
LargeLoss	130.511	2	132.494	2.0	134.494	0.496	135.061	1.454	You keep $5!	Correct Response!	1	480
NoMoneyStake	136.51	2	138.494	2.0	140.493	0.496	141.06	1.454	No money at stake!	Correct Response!	1	432
LargeLoss	142.51	2	144.493	4.0	148.492	0.496	149.059	1.454	You lose $5!	You pressed too slow!	0	0
LargeLoss	150.509	2	152.492	2.0	154.492	0.496	155.058	1.454	You keep $5!	Correct Response!	1	329
SmallLoss	156.508	2	158.491	1.5	159.991	0.476	160.541	1.474	You keep $0.20!	Correct Response!	1	470
LargeLoss	162.007	2	163.991	3.0	166.99	0.476	167.54	1.474	You keep $5!	Correct Response!	1	367
LargeGain	169.007	2	170.99	2.0	172.989	0.476	173.539	1.474	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	175.006	2	176.989	1.5	178.489	0.456	179.022	1.494	No money at stake!	Correct Response!	1	444
NoMoneyStake	180.505	2	182.488	2.0	184.488	0.456	185.021	1.494	No money at stake!	Correct Response!	1	325
SmallGain	186.504	2	188.488	4.0	192.487	0.456	193.02	1.494	You earn $0.20!	Correct Response!	1	358
NoMoneyStake	194.504	2	196.487	4.0	200.486	0.456	201.019	1.494	No money at stake!	Correct Response!	1	318
SmallGain	202.503	2	204.486	3.5	207.985	0.456	208.518	1.494	You earn $0.20!	Correct Response!	1	395
NoMoneyStake	210.002	2	211.985	1.5	213.485	0.456	214.018	1.494	No money at stake!	Correct Response!	1	447
SmallGain	215.501	2	217.484	1.5	218.984	0.456	219.517	1.494	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	221.0	2	222.983	4.0	226.983	0.436	227.5	1.514	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	228.999	2	230.982	1.5	232.482	0.436	232.999	1.514	No money at stake!	You pressed too slow!	0	0
SmallLoss	234.499	2	236.482	2.0	238.482	0.436	238.998	1.514	You lose $0.20!	You pressed too slow!	0	0
LargeGain	240.498	2	242.481	2.5	244.981	0.436	245.497	1.514	You did not earn $5!	You pressed too slow!	0	0
LargeGain	246.997	2	248.98	1.5	250.48	0.476	251.03	1.474	You did not earn $5!	You pressed too slow!	0	0
LargeLoss	252.496	2	254.48	1.5	255.979	0.476	256.529	1.474	You keep $5!	Correct Response!	1	400
SmallLoss	257.996	2	259.979	2.0	261.979	0.476	262.529	1.474	You lose $0.20!	You pressed too slow!	0	0
LargeGain	263.995	2	265.978	1.5	267.478	0.5	268.045	1.45	You earn $5!	Correct Response!	1	485
SmallLoss	269.494	2	271.478	1.5	272.977	0.5	273.544	1.45	You keep $0.20!	Correct Response!	1	458
SmallGain	274.994	2	276.977	1.5	278.477	0.5	279.043	1.45	You earn $0.20!	Correct Response!	1	326
LargeGain	280.493	2	282.476	4.0	286.476	0.48	287.026	1.47	You earn $5!	Correct Response!	1	343
NoMoneyStake	288.492	2	290.475	3.0	293.475	0.48	294.025	1.47	No money at stake!	You pressed too slow!	0	0
SmallLoss	295.491	2	297.474	3.0	300.474	0.48	301.024	1.47	You lose $0.20!	You pressed too slow!	0	0
SmallLoss	302.49	2	304.474	2.5	306.973	0.48	307.523	1.47	You keep $0.20!	Correct Response!	1	342
SmallGain	308.99	2	310.973	2.0	312.973	0.45	313.489	1.5	You earn $0.20!	Correct Response!	1	397
