TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallLoss	0.022	2	2.005	3.5	5.504	0.265	5.837	1.685	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	7.52	2	9.503	3.0	12.503	0.265	12.836	1.685	No money at stake!	Correct Response!	1	233
SmallLoss	14.519	2	16.502	2.0	18.502	0.265	18.835	1.685	You keep $0.20!	Correct Response!	1	262
SmallGain	20.518	2	22.501	1.5	24.001	0.265	24.351	1.685	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	26.017	2	28.0	1.5	29.5	0.305	29.883	1.645	You earn $5!	Correct Response!	1	273
SmallGain	31.516	2	33.499	1.5	34.999	0.305	35.382	1.645	You earn $0.20!	Correct Response!	1	218
NoMoneyStake	37.015	2	38.998	1.5	40.498	0.305	40.881	1.645	No money at stake!	Correct Response!	1	242
LargeLoss	42.514	2	44.497	2.5	46.997	0.305	47.38	1.645	You keep $5!	Correct Response!	1	225
SmallGain	49.013	2	50.996	3.5	54.495	0.285	54.862	1.665	You earn $0.20!	Correct Response!	1	239
SmallGain	56.512	2	58.495	2.0	60.494	0.285	60.861	1.665	You earn $0.20!	Correct Response!	1	254
NoMoneyStake	62.511	2	64.494	4.0	68.493	0.285	68.86	1.665	No money at stake!	Correct Response!	1	259
SmallLoss	70.509	2	72.492	1.5	73.992	0.285	74.359	1.665	You keep $0.20!	Correct Response!	1	265
LargeGain	76.008	2	77.991	2.5	80.491	0.235	80.807	1.715	You earn $5!	Correct Response!	1	213
SmallGain	82.507	2	84.49	3.0	87.49	0.235	87.806	1.715	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	89.506	2	91.489	1.5	92.989	0.235	93.305	1.715	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	95.005	2	96.988	2.5	99.488	0.215	99.771	1.735	No money at stake!	Correct Response!	1	209
NoMoneyStake	101.504	2	103.487	1.5	104.987	0.215	105.286	1.735	No money at stake!	You pressed too slow!	0	0
