TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallGain	0.023	2	2.006	4.0	6.006	0.28	6.372	1.67	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	8.022	2	10.005	1.5	11.505	0.28	11.855	1.67	No money at stake!	You pressed too slow!	0	0
SmallGain	13.521	2	15.504	3.0	18.503	0.28	18.853	1.67	You did not earn $0.20!	You pressed too soon!	0	0
SmallLoss	20.52	2	22.503	1.5	24.002	0.28	24.352	1.67	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	26.019	2	28.002	1.5	29.501	0.35	29.918	1.6	You keep $5!	Correct Response!	1	57
NoMoneyStake	31.518	2	33.501	1.5	35.001	0.35	35.434	1.6	No money at stake!	Correct Response!	1	236
SmallLoss	37.017	2	39.0	1.5	40.5	0.35	40.933	1.6	You keep $0.20!	Correct Response!	1	121
NoMoneyStake	42.516	2	44.499	2.0	46.499	0.35	46.932	1.6	No money at stake!	You pressed too soon!	0	0
LargeGain	48.515	2	50.498	2.5	52.997	0.35	53.431	1.6	You did not earn $5!	You pressed too soon!	0	0
LargeLoss	55.014	2	56.997	2.5	59.496	0.39	59.963	1.56	You keep $5!	Correct Response!	1	339
SmallLoss	61.513	2	63.496	3.0	66.495	0.39	66.962	1.56	You lose $0.20!	You pressed too soon!	0	0
SmallGain	68.511	2	70.494	2.0	72.494	0.39	72.961	1.56	You earn $0.20!	Correct Response!	1	309
NoMoneyStake	74.51	2	76.493	4.0	80.493	0.37	80.943	1.58	No money at stake!	Correct Response!	1	341
LargeGain	82.509	2	84.492	2.0	86.492	0.37	86.942	1.58	You earn $5!	Correct Response!	1	342
LargeGain	88.508	2	90.491	3.0	93.49	0.37	93.94	1.58	You earn $5!	Correct Response!	1	287
SmallLoss	95.507	2	97.49	1.5	98.989	0.37	99.439	1.58	You keep $0.20!	Correct Response!	1	308
SmallGain	101.006	2	102.989	1.5	104.489	0.34	104.905	1.61	You earn $0.20!	Correct Response!	1	303
LargeGain	106.505	2	108.488	1.5	109.988	0.34	110.404	1.61	You earn $5!	Correct Response!	1	300
SmallLoss	112.004	2	113.987	2.0	115.987	0.34	116.403	1.61	You keep $0.20!	Correct Response!	1	300
SmallGain	118.003	2	119.986	1.5	121.486	0.29	121.852	1.66	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	123.502	2	125.485	1.5	126.985	0.29	127.351	1.66	You keep $5!	Correct Response!	1	246
LargeGain	129.001	2	130.984	3.5	134.483	0.29	134.85	1.66	You did not earn $5!	You pressed too slow!	0	0
LargeLoss	136.5	2	138.483	3.5	141.982	0.27	142.332	1.68	You lose $5!	You pressed too slow!	0	0
LargeGain	143.998	2	145.981	1.5	147.481	0.27	147.831	1.68	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	149.497	2	151.48	2.0	153.48	0.27	153.83	1.68	No money at stake!	You pressed too soon!	0	0
NoMoneyStake	155.496	2	157.479	2.5	159.979	0.27	160.329	1.68	No money at stake!	Correct Response!	1	257
SmallLoss	161.995	2	163.978	2.5	166.478	0.27	166.828	1.68	You lose $0.20!	You pressed too slow!	0	0
SmallGain	168.494	2	170.477	1.5	171.977	0.32	172.377	1.63	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	173.993	2	175.976	3.0	178.976	0.32	179.376	1.63	You keep $5!	Correct Response!	1	307
