TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
NoMoneyStake	0.012	2	2.011	2.0	4.011	0.275	4.361	1.675	No money at stake!	You pressed too slow!	0	0
NoMoneyStake	6.027	2	8.01	1.5	9.51	0.275	9.86	1.675	No money at stake!	Correct Response!	1	272
LargeLoss	11.526	2	13.509	2.5	16.009	0.275	16.359	1.675	You keep $5!	Correct Response!	1	253
NoMoneyStake	18.025	2	20.008	1.5	21.508	0.275	21.858	1.675	No money at stake!	You pressed too slow!	0	0
LargeGain	23.524	2	25.507	1.5	27.007	0.275	27.357	1.675	You earn $5!	Correct Response!	1	254
SmallLoss	29.023	2	31.006	1.5	32.506	0.275	32.856	1.675	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	34.522	2	36.505	4.0	40.505	0.255	40.838	1.695	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	42.521	2	44.504	3.5	48.003	0.255	48.337	1.695	No money at stake!	You pressed too slow!	0	0
SmallGain	50.02	2	52.003	2.5	54.502	0.255	54.835	1.695	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	56.519	2	58.502	2.0	60.501	0.255	60.834	1.695	You lose $5!	You pressed too slow!	0	0
SmallLoss	62.517	2	64.5	1.5	66.0	0.295	66.367	1.655	You lose $0.20!	You pressed too slow!	0	0
SmallGain	68.017	2	70.0	3.0	72.999	0.295	73.366	1.655	You earn $0.20!	Correct Response!	1	259
LargeLoss	75.015	2	76.998	1.5	78.498	0.295	78.865	1.655	You lose $5!	You pressed too slow!	0	0
SmallGain	80.514	2	82.497	1.5	83.997	0.345	84.414	1.605	You earn $0.20!	Correct Response!	1	260
SmallGain	86.013	2	87.996	2.0	89.996	0.345	90.413	1.605	You earn $0.20!	Correct Response!	1	253
LargeLoss	92.012	2	93.995	2.0	95.995	0.345	96.412	1.605	You keep $5!	Correct Response!	1	277
