TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.066	2	1.999	1.5	3.499	0.317	3.899	1.633	You lose $5!	You pressed too slow!	0	0
SmallGain	5.548	2	7.498	3.5	10.997	0.317	11.397	1.633	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	13.014	2	14.997	3.0	17.996	0.317	18.38	1.633	You lose $5!	You pressed too soon!	0	0
NoMoneyStake	20.029	2	21.996	1.5	23.496	0.387	23.962	1.563	No money at stake!	Correct Response!	1	359
NoMoneyStake	25.512	2	27.495	3.5	30.995	0.387	31.461	1.563	No money at stake!	Correct Response!	1	332
LargeLoss	33.011	2	34.994	1.5	36.494	0.387	36.96	1.563	You keep $5!	Correct Response!	1	360
NoMoneyStake	38.51	2	40.493	1.5	41.993	0.387	42.46	1.563	No money at stake!	Correct Response!	1	309
LargeLoss	44.009	2	45.992	4.0	49.992	0.387	50.458	1.563	You keep $5!	Correct Response!	1	302
LargeLoss	52.008	2	53.991	3.5	57.491	0.387	57.957	1.563	You keep $5!	Correct Response!	1	346
LargeGain	59.54	2	61.49	3.0	64.49	0.407	64.973	1.543	You earn $5!	Correct Response!	1	291
LargeGain	66.506	2	68.489	1.5	69.989	0.407	70.472	1.543	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	72.005	2	73.988	2.0	75.988	0.407	76.471	1.543	No money at stake!	Correct Response!	1	393
SmallLoss	78.021	2	79.987	1.5	81.487	0.407	81.97	1.543	You keep $0.20!	Correct Response!	1	349
SmallLoss	83.504	2	85.487	1.5	86.986	0.377	87.436	1.573	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	89.003	2	90.986	2.5	93.485	0.377	93.935	1.573	You keep $5!	Correct Response!	1	287
LargeLoss	95.502	2	97.485	2.0	99.485	0.377	99.934	1.573	You keep $5!	Correct Response!	1	350
SmallGain	101.501	2	103.484	1.5	104.984	0.357	105.417	1.593	You earn $0.20!	Correct Response!	1	311
LargeGain	107.0	2	108.983	3.5	112.483	0.357	112.916	1.593	You earn $5!	Correct Response!	1	344
SmallLoss	114.499	2	116.482	3.0	119.482	0.357	119.915	1.593	You keep $0.20!	Correct Response!	1	321
SmallLoss	121.498	2	123.481	2.0	125.481	0.327	125.881	1.623	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	127.497	2	129.48	1.5	130.98	0.327	131.38	1.623	You keep $5!	Correct Response!	1	310
LargeGain	132.996	2	134.979	2.0	136.979	0.327	137.379	1.623	You earn $5!	Correct Response!	1	303
SmallLoss	138.995	2	140.978	3.5	144.478	0.297	144.845	1.653	You lose $0.20!	You pressed too slow!	0	0
SmallGain	146.494	2	148.477	2.0	150.477	0.297	150.844	1.653	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	152.493	2	154.476	2.5	156.976	0.297	157.343	1.653	No money at stake!	Correct Response!	1	289
NoMoneyStake	158.992	2	160.976	4.0	164.975	0.297	165.342	1.653	No money at stake!	You pressed too slow!	0	0
