TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallGain	0.079	2	2.012	4.0	6.011	0.321	6.411	1.629	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	8.061	2	10.011	3.5	13.51	0.321	13.91	1.629	You keep $0.20!	Correct Response!	1	289
NoMoneyStake	15.543	2	17.51	2.5	20.009	0.321	20.409	1.629	No money at stake!	You pressed too slow!	0	0
SmallGain	22.026	2	24.009	2.0	26.008	0.321	26.408	1.629	You earn $0.20!	Correct Response!	1	279
SmallLoss	28.025	2	30.008	4.0	34.007	0.301	34.39	1.649	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	36.057	2	38.007	2.0	40.006	0.301	40.373	1.649	You keep $5!	Correct Response!	1	280
SmallLoss	42.023	2	44.006	1.5	45.505	0.301	45.889	1.649	You keep $0.20!	Correct Response!	1	37
SmallGain	47.522	2	49.505	1.5	51.005	0.281	51.355	1.669	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	53.021	2	55.004	2.0	57.004	0.281	57.354	1.669	No money at stake!	You pressed too slow!	0	0
SmallGain	59.02	2	61.003	1.5	62.503	0.281	62.853	1.669	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	64.519	2	66.502	1.5	68.002	0.281	68.352	1.669	No money at stake!	You pressed too slow!	0	0
SmallGain	70.018	2	72.002	3.5	75.501	0.281	75.851	1.669	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	77.517	2	79.5	3.0	82.5	0.321	82.9	1.629	You keep $5!	Correct Response!	1	288
LargeGain	84.55	2	86.499	1.5	87.999	0.321	88.399	1.629	You did not earn $5!	You pressed too slow!	0	0
SmallLoss	90.016	2	91.999	2.0	93.998	0.321	94.398	1.629	You keep $0.20!	Correct Response!	1	270
NoMoneyStake	96.015	2	97.998	3.0	100.997	0.361	101.431	1.589	No money at stake!	Correct Response!	1	287
LargeGain	103.014	2	104.997	4.0	108.996	0.361	109.429	1.589	You earn $5!	Correct Response!	1	287
NoMoneyStake	111.012	2	112.995	4.0	116.995	0.361	117.428	1.589	No money at stake!	Correct Response!	1	360
SmallGain	119.011	2	120.994	2.0	122.994	0.361	123.427	1.589	You did not earn $0.20!	You pressed too slow!	0	0
