TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.021	2	2.004	2.5	4.503	0.354	4.936	1.596	You lose $5!	You pressed too slow!	0	0
LargeGain	6.519	2	8.502	1.5	10.002	0.354	10.435	1.596	You earn $5!	Correct Response!	1	316
LargeLoss	12.018	2	14.001	1.5	15.501	0.354	15.934	1.596	You lose $5!	You pressed too slow!	0	0
SmallGain	17.518	2	19.5	2.0	21.5	0.394	21.967	1.556	You earn $0.20!	Correct Response!	1	329
NoMoneyStake	23.516	2	25.499	2.0	27.499	0.394	27.966	1.556	No money at stake!	Correct Response!	1	370
SmallGain	29.515	2	31.498	1.5	32.998	0.394	33.465	1.556	You earn $0.20!	Correct Response!	1	343
NoMoneyStake	35.014	2	36.997	1.5	38.497	0.394	38.964	1.556	No money at stake!	Correct Response!	1	387
LargeLoss	40.514	2	42.497	1.5	43.996	0.394	44.463	1.556	You keep $5!	Correct Response!	1	312
LargeGain	46.013	2	47.996	2.0	49.995	0.374	50.445	1.576	You earn $5!	Correct Response!	1	297
SmallLoss	52.012	2	53.995	4.0	57.994	0.374	58.444	1.576	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	60.01	2	61.993	1.5	63.493	0.374	63.943	1.576	You keep $5!	Correct Response!	1	329
SmallGain	65.509	2	67.492	1.5	68.992	0.344	69.409	1.606	You earn $0.20!	Correct Response!	1	314
LargeGain	71.008	2	72.991	4.0	76.991	0.344	77.407	1.606	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	79.007	2	80.99	1.5	82.49	0.344	82.906	1.606	No money at stake!	You pressed too slow!	0	0
LargeLoss	84.506	2	86.489	2.0	88.489	0.344	88.905	1.606	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	90.505	2	92.488	3.0	95.487	0.364	95.921	1.586	No money at stake!	Correct Response!	1	353
SmallLoss	97.504	2	99.487	1.5	100.986	0.364	101.42	1.586	You keep $0.20!	Correct Response!	1	278
NoMoneyStake	103.003	2	104.986	3.5	108.485	0.364	108.918	1.586	No money at stake!	Correct Response!	1	274
LargeLoss	110.501	2	112.484	3.0	115.484	0.364	115.917	1.586	You keep $5!	Correct Response!	1	323
LargeGain	117.5	2	119.483	1.5	120.983	0.364	121.416	1.586	You earn $5!	Correct Response!	1	296
LargeLoss	122.999	2	124.982	1.5	126.482	0.344	126.899	1.606	You keep $5!	Correct Response!	1	332
LargeGain	128.498	2	130.481	1.5	131.981	0.344	132.398	1.606	You earn $5!	Correct Response!	1	313
LargeGain	133.997	2	135.98	1.5	137.48	0.344	137.897	1.606	You earn $5!	Correct Response!	1	285
