TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.018	2	2.001	2.5	4.501	0.282	4.868	1.668	You lose $5!	You pressed too slow!	0	0
LargeGain	6.517	2	8.5	1.5	10.0	0.282	10.35	1.668	You earn $5!	Correct Response!	1	271
LargeLoss	12.016	2	13.999	1.5	15.499	0.282	15.849	1.668	You keep $5!	Correct Response!	1	275
SmallGain	17.515	2	19.498	2.0	21.498	0.262	21.831	1.688	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	23.514	2	25.497	2.0	27.497	0.262	27.83	1.688	No money at stake!	You pressed too soon!	0	0
SmallGain	29.513	2	31.496	1.5	32.996	0.262	33.329	1.688	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	35.012	2	36.995	1.5	38.495	0.262	38.828	1.688	No money at stake!	You pressed too soon!	0	0
LargeLoss	40.511	2	42.494	1.5	43.994	0.262	44.327	1.688	You lose $5!	You pressed too slow!	0	0
LargeGain	46.01	2	47.993	2.0	49.993	0.302	50.376	1.648	You earn $5!	Correct Response!	1	267
SmallLoss	52.009	2	53.992	4.0	57.992	0.302	58.375	1.648	You keep $0.20!	Correct Response!	1	299
LargeLoss	60.008	2	61.991	1.5	63.491	0.302	63.874	1.648	You keep $5!	Correct Response!	1	288
SmallGain	65.507	2	67.49	1.5	68.99	0.322	69.39	1.628	You earn $0.20!	Correct Response!	1	277
LargeGain	71.006	2	72.989	4.0	76.988	0.322	77.388	1.628	You earn $5!	Correct Response!	1	286
NoMoneyStake	79.005	2	80.988	1.5	82.487	0.322	82.887	1.628	No money at stake!	You pressed too slow!	0	0
LargeLoss	84.504	2	86.487	2.0	88.486	0.322	88.886	1.628	You keep $5!	Correct Response!	1	267
NoMoneyStake	90.503	2	92.486	3.0	95.485	0.272	95.835	1.678	No money at stake!	You pressed too slow!	0	0
SmallLoss	97.501	2	99.484	1.5	100.984	0.272	101.334	1.678	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	103.001	2	104.984	3.5	108.483	0.272	108.833	1.678	No money at stake!	You pressed too slow!	0	0
LargeLoss	110.499	2	112.482	3.0	115.482	0.272	115.832	1.678	You lose $5!	You pressed too slow!	0	0
LargeGain	117.498	2	119.481	1.5	120.981	0.272	121.331	1.678	You did not earn $5!	You pressed too slow!	0	0
LargeLoss	122.997	2	124.98	1.5	126.48	0.292	126.846	1.658	You lose $5!	You pressed too slow!	0	0
LargeGain	128.496	2	130.479	1.5	131.979	0.292	132.345	1.658	You earn $5!	Correct Response!	1	267
LargeGain	133.995	2	135.978	1.5	137.478	0.292	137.845	1.658	You earn $5!	Correct Response!	1	272
NoMoneyStake	139.494	2	141.477	1.5	142.977	0.332	143.377	1.618	No money at stake!	Correct Response!	1	300
SmallGain	144.993	2	146.976	3.5	150.476	0.332	150.892	1.618	You did not earn $0.20!	You pressed too soon!	0	0
SmallLoss	152.492	2	154.475	2.0	156.475	0.332	156.875	1.618	You keep $0.20!	Correct Response!	1	289
SmallGain	158.491	2	160.474	2.5	162.973	0.332	163.373	1.618	You earn $0.20!	Correct Response!	1	271
SmallLoss	164.99	2	166.973	2.5	169.472	0.312	169.856	1.638	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	171.489	2	173.472	4.0	177.471	0.312	177.854	1.638	No money at stake!	Correct Response!	1	300
LargeLoss	179.487	2	181.47	3.5	184.97	0.312	185.353	1.638	You keep $5!	Correct Response!	1	296
NoMoneyStake	186.986	2	188.969	1.5	190.469	0.312	190.852	1.638	No money at stake!	You pressed too slow!	0	0
LargeGain	192.485	2	194.468	3.0	197.468	0.312	197.851	1.638	You earn $5!	Correct Response!	1	269
NoMoneyStake	199.484	2	201.467	2.5	203.966	0.292	204.333	1.658	No money at stake!	Correct Response!	1	275
NoMoneyStake	205.983	2	207.966	2.0	209.965	0.292	210.332	1.658	No money at stake!	Correct Response!	1	276
SmallGain	211.982	2	213.965	1.5	215.464	0.292	215.831	1.658	You earn $0.20!	Correct Response!	1	272
LargeLoss	217.481	2	219.464	2.0	221.463	0.292	221.83	1.658	You keep $5!	Correct Response!	1	265
SmallGain	223.48	2	225.463	3.0	228.462	0.292	228.829	1.658	You earn $0.20!	Correct Response!	1	273
LargeGain	230.478	2	232.461	3.5	235.961	0.262	236.294	1.688	You did not earn $5!	You pressed too slow!	0	0
SmallLoss	237.977	2	239.96	2.0	241.96	0.262	242.293	1.688	You keep $0.20!	Correct Response!	1	254
SmallGain	243.976	2	245.959	4.0	249.958	0.262	250.292	1.688	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	251.975	2	253.958	1.5	255.457	0.242	255.774	1.708	You lose $0.20!	You pressed too slow!	0	0
SmallGain	257.474	2	259.457	2.0	261.456	0.242	261.773	1.708	You did not earn $0.20!	You pressed too slow!	0	0
SmallGain	263.473	2	265.456	1.5	266.956	0.242	267.272	1.708	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	268.972	2	270.955	1.5	272.455	0.292	272.821	1.658	You lose $0.20!	You pressed too slow!	0	0
SmallLoss	274.471	2	276.454	1.5	277.954	0.292	278.32	1.658	You keep $0.20!	Correct Response!	1	282
LargeGain	279.97	2	281.953	2.0	283.953	0.292	284.319	1.658	You earn $5!	Correct Response!	1	82
LargeLoss	285.969	2	287.952	4.0	291.951	0.332	292.351	1.618	You keep $5!	Correct Response!	1	308
SmallLoss	293.967	2	295.951	3.0	298.95	0.332	299.35	1.618	You keep $0.20!	Correct Response!	1	268
LargeGain	300.966	2	302.949	2.5	305.449	0.332	305.849	1.618	You earn $5!	Correct Response!	1	297
SmallLoss	307.465	2	309.448	3.5	312.948	0.302	313.331	1.648	You lose $0.20!	You pressed too slow!	0	0
