TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
SmallLoss	0.066	2	1.999	1.5	3.499	0.273	3.849	1.677	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	5.532	2	7.498	1.5	8.998	0.273	9.348	1.677	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	11.031	2	12.997	3.5	16.497	0.273	16.846	1.677	No money at stake!	You pressed too soon!	0	0
NoMoneyStake	18.513	2	20.496	1.5	21.996	0.273	22.346	1.677	No money at stake!	You pressed too slow!	0	0
LargeGain	24.029	2	25.995	3.5	29.494	0.273	29.844	1.677	You did not earn $5!	You pressed too soon!	0	0
SmallGain	31.527	2	33.494	3.0	36.493	0.343	36.91	1.607	You earn $0.20!	Correct Response!	1	272
SmallLoss	38.509	2	40.492	1.5	41.992	0.343	42.409	1.607	You keep $0.20!	Correct Response!	1	340
SmallGain	44.008	2	45.991	1.5	47.491	0.343	47.908	1.607	You earn $0.20!	Correct Response!	1	281
LargeGain	49.507	2	51.49	3.0	54.49	0.363	54.923	1.587	You earn $5!	Correct Response!	1	274
LargeLoss	56.506	2	58.489	1.5	59.989	0.363	60.422	1.587	You keep $5!	Correct Response!	1	294
SmallGain	62.005	2	63.988	2.0	65.988	0.363	66.421	1.587	You earn $0.20!	Correct Response!	1	287
LargeGain	68.004	2	69.987	2.0	71.987	0.313	72.37	1.637	You earn $5!	Correct Response!	1	268
NoMoneyStake	74.003	2	75.986	2.5	78.486	0.313	78.869	1.637	No money at stake!	Correct Response!	1	268
LargeGain	80.502	2	82.485	1.5	83.985	0.313	84.368	1.637	You did not earn $5!	You pressed too slow!	0	0
LargeLoss	86.001	2	87.984	2.5	90.484	0.313	90.867	1.637	You keep $5!	Correct Response!	1	213
SmallGain	92.5	2	94.483	1.5	95.983	0.283	96.333	1.667	You earn $0.20!	Correct Response!	1	282
LargeGain	97.999	2	99.982	1.5	101.482	0.283	101.832	1.667	You earn $5!	Correct Response!	1	254
SmallLoss	103.498	2	105.481	3.5	108.98	0.283	109.33	1.667	You lose $0.20!	You pressed too soon!	0	0
LargeLoss	110.997	2	112.98	1.5	114.48	0.263	114.813	1.687	You lose $5!	You pressed too slow!	0	0
LargeLoss	116.496	2	118.479	3.5	121.978	0.263	122.312	1.687	You lose $5!	You pressed too slow!	0	0
SmallGain	123.995	2	125.978	2.5	128.477	0.263	128.81	1.687	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	130.493	2	132.476	2.0	134.476	0.303	134.859	1.647	You keep $5!	Correct Response!	1	266
NoMoneyStake	136.492	2	138.475	2.0	140.475	0.303	140.858	1.647	No money at stake!	Correct Response!	1	258
LargeLoss	142.491	2	144.474	4.0	148.474	0.303	148.857	1.647	You keep $5!	Correct Response!	1	275
LargeLoss	150.49	2	152.473	2.0	154.473	0.303	154.856	1.647	You keep $5!	Correct Response!	1	275
