TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeLoss	0.024	2	2.007	1.5	3.507	0.323	3.907	1.627	You lose $5!	You pressed too slow!	0	0
LargeGain	5.523	2	7.506	2.0	9.506	0.323	9.906	1.627	You earn $5!	Correct Response!	1	278
NoMoneyStake	11.522	2	13.505	4.0	17.505	0.323	17.905	1.627	No money at stake!	You pressed too slow!	0	0
LargeLoss	19.521	2	21.504	1.5	23.004	0.323	23.404	1.627	You lose $5!	You pressed too slow!	0	0
LargeGain	25.02	2	27.003	1.5	28.503	0.363	28.936	1.587	You earn $5!	Correct Response!	1	302
LargeLoss	30.519	2	32.502	2.0	34.502	0.363	34.935	1.587	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	36.518	2	38.501	3.0	41.5	0.363	41.934	1.587	No money at stake!	Correct Response!	1	304
SmallGain	43.517	2	45.5	2.0	47.499	0.363	47.933	1.587	You earn $0.20!	Correct Response!	1	328
NoMoneyStake	49.516	2	51.499	2.0	53.498	0.383	53.965	1.567	No money at stake!	You pressed too soon!	0	0
SmallGain	55.515	2	57.498	2.5	59.997	0.383	60.447	1.567	You earn $0.20!	Correct Response!	1	301
NoMoneyStake	62.014	2	63.996	3.5	67.496	0.383	67.962	1.567	No money at stake!	Correct Response!	1	338
SmallGain	69.512	2	71.495	4.0	75.494	0.383	75.944	1.567	You earn $0.20!	Correct Response!	1	331
SmallLoss	77.511	2	79.494	4.0	83.493	0.383	83.96	1.567	You keep $0.20!	Correct Response!	1	308
SmallGain	85.509	2	87.492	1.5	88.992	0.353	89.425	1.597	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	91.008	2	92.991	1.5	94.491	0.353	94.924	1.597	No money at stake!	You pressed too slow!	0	0
LargeLoss	96.507	2	98.49	1.5	99.99	0.353	100.423	1.597	You keep $5!	Correct Response!	1	337
SmallLoss	102.006	2	103.989	2.0	105.989	0.353	106.422	1.597	You keep $0.20!	Correct Response!	1	290
SmallGain	108.005	2	109.988	3.0	112.988	0.323	113.388	1.627	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	115.004	2	116.987	3.5	120.487	0.323	120.886	1.627	You keep $5!	Correct Response!	1	279
NoMoneyStake	122.503	2	124.486	1.5	125.986	0.323	126.386	1.627	No money at stake!	You pressed too slow!	0	0
LargeLoss	128.002	2	129.985	1.5	131.485	0.323	131.885	1.627	You keep $5!	Correct Response!	1	320
SmallLoss	133.501	2	135.484	3.5	138.983	0.303	139.367	1.647	You lose $0.20!	You pressed too slow!	0	0
SmallGain	141.0	2	142.983	1.5	144.482	0.303	144.866	1.647	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	146.499	2	148.482	2.5	150.981	0.303	151.364	1.647	You keep $0.20!	Correct Response!	1	295
